1_thr,2_thr,3_thr,4_thr,5_thr,6_thr,7_thr,8_thr,
0.005643,0.004568,0.002431,0.002369,0.004130,0.003146,0.003713,0.033320,
0.017912,0.011932,0.004787,0.008106,0.008153,0.006026,0.004038,0.029750,
0.017864,0.014002,0.008470,0.009566,0.010752,0.008332,0.011082,0.007337,
0.042022,0.019174,0.021199,0.019106,0.016643,0.015001,0.020421,0.050102,
0.038733,0.024880,0.022965,0.025928,0.022983,0.023772,0.027984,0.025887,
0.051485,0.040593,0.043384,0.036622,0.037244,0.038236,0.036850,0.039455,
0.069551,0.050650,0.049577,0.047952,0.048572,0.062100,0.070871,0.045986,
0.089068,0.069925,0.058558,0.061708,0.065452,0.071270,0.090154,0.078990,
0.100818,0.079955,0.071167,0.076473,0.064828,0.075258,0.077279,0.066282,
0.124373,0.104208,0.091816,0.099020,0.094609,0.093492,0.147764,0.086041,
