кол-во потоков,100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,
1,4875337.800000,9740254.500000,15622123.300000,19602124.400000,25156669.500000,29884803.400000,36480150.400000,41074757.200000,44407263.000000,52892704.100000,
2,4141512.300000,8750647.100000,12842100.400000,17672415.100000,20672488.400000,24678284.100000,33080571.200000,39611225.000000,39207844.300000,44239252.600000,
3,4316538.100000,9150544.500000,12936960.100000,17090973.300000,21126949.500000,28357407.600000,29669059.200000,33442539.800000,36633604.400000,42186968.300000,
4,4130170.200000,7847295.400000,12792322.000000,18069738.000000,22181690.600000,35471018.900000,42519766.200000,48273332.500000,52979388.600000,46600462.200000,
5,4643390.200000,10894450.700000,22335284.000000,18941732.600000,23243856.400000,25116788.800000,38424989.700000,33972853.200000,41291315.000000,57951588.000000,
6,5861488.900000,11766867.700000,12543349.200000,18460490.800000,23454396.500000,24984284.100000,29537948.900000,33258268.300000,39159738.900000,46891984.900000,
7,4430431.000000,11904719.700000,12693545.200000,18575916.900000,20947562.500000,26761376.000000,34665616.000000,33431831.900000,38390221.600000,43541809.700000,
8,6287122.200000,13516358.900000,12968731.200000,17488763.600000,20946407.000000,25416241.600000,29980968.700000,37312673.300000,38167696.200000,49047745.900000,
9,4303525.900000,10582840.500000,15353908.100000,22399314.300000,22983592.600000,28101730.500000,34490086.800000,44812100.000000,39140994.400000,45188289.900000,
10,3822389.500000,11625063.600000,13449015.100000,17156839.100000,22352823.800000,28183458.800000,32828223.100000,44147881.900000,37948278.400000,44754273.500000,
11,4032585.000000,9205448.900000,12671264.800000,18518530.600000,27199142.100000,28959862.000000,32465718.600000,39070469.400000,46177466.600000,45512899.200000,
12,3903935.500000,10804114.500000,13232586.600000,19768075.900000,23105877.100000,28982768.900000,35738116.300000,49588803.600000,40097463.000000,50855189.300000,
